SEASON_1,BASIC_ZONE,FGA,FGM,FG3M,Points,PPS,eFG,league_zone_share
2004,Mid-Range,67657,25849,13,51711,0.76431115775159997,0.38215557887579998,0.35645906545207401
2004,In The Paint (Non-RA),27335,10552,1,21105,0.77208706786171577,0.38604353393085789,0.14401774471425635
2004,Left Corner 3,5069,1919,1918,5756,1.1355296902742158,0.5677648451371079,2.6706637935122207E-2
2004,Restricted Area,59358,34542,1,69085,1.1638700764850567,0.58193503824252835,0.31273478290648726
2004,Backcourt,336,8,8,24,7.1428571428571425E-2,3.5714285714285712E-2,1.7702565291381064E-3
2004,Right Corner 3,4499,1691,1688,5070,1.1269170926872638,0.56345854634363191,2.3703524180334348E-2
2004,Above the Break 3,25549,8694,8693,26081,1.020822732787976,0.51041136639398799,0.13460798828258774
2005,Left Corner 3,5541,2090,2089,6269,1.1313842266738856,0.5656921133369428,2.8037808790341352E-2
2005,Right Corner 3,5307,2066,2063,6195,1.1673261729790843,0.58366308648954213,2.6853754060700515E-2
2005,Restricted Area,63163,36974,5,73953,1.1708278580814717,0.58541392904073586,0.31960875593292382
2005,In The Paint (Non-RA),25758,10247,0,20494,0.79563630716670553,0.39781815358335276,0.13033710139354135
2005,Backcourt,363,3,3,9,2.4793388429752067E-2,1.2396694214876033E-2,1.8368028498274519E-3
2005,Above the Break 3,27460,9586,9584,28756,1.0471959213401312,0.52359796067006559,0.13894932852964692
2005,Mid-Range,70034,27469,33,54971,0.78491875374817943,0.39245937687408972,0.35437644844301863
2006,In The Paint (Non-RA),25107,10167,0,20334,0.80989365515593259,0.4049468275779663,0.12920839466018919
2006,Right Corner 3,5409,2123,2115,6361,1.1760029580329081,0.58800147901645405,2.7836388525788156E-2
2006,Backcourt,371,9,9,27,0.07277628032345014,0.03638814016172507,1.9092808546990953E-3
2006,Mid-Range,66926,26627,30,53284,0.79616292621701579,0.39808146310850789,0.34442191504472142
2006,Left Corner 3,5668,2184,2184,6552,1.1559633027522935,0.57798165137614677,2.9169282707370545E-2
2006,Restricted Area,63017,37304,2,74610,1.1839662313344019,0.59198311566720097,0.32430499089103204
2006,Above the Break 3,27816,9752,9746,29250,1.0515530629853322,0.52577653149266612,0.14314974731619956
2007,In The Paint (Non-RA),25213,10410,0,20820,0.82576448657438628,0.41288224328719314,0.12859051776898281
2007,Right Corner 3,5412,2076,2072,6224,1.1500369549150038,0.5750184774575019,0.02760210534905545
2007,Mid-Range,64759,25839,29,51707,0.79845272471779982,0.39922636235889991,0.33028173324085031
