SEASON_1,PLAYER_ID,PLAYER_NAME,BASIC_ZONE,FGA,FGM,FG3M,Points,PPS,eFG,zone_share,league_efg_zone,league_zone_share,efg_vs_league_zone
2018,1628378,Donovan Mitchell,Restricted Area,394,243,0,486,1.233502538071066,0.61675126903553301,0.28928046989721001,0.63084859813084115,0.31588468968905137,-1.4097329095308142E-2
2017,203092,Tyler Zeller,Mid-Range,50,17,0,34,0.68000000000000005,0.34000000000000002,0.31645569620253167,0.40251207729468597,0.22186072434013404,-6.2512077294685942E-2
2018,203952,Andrew Wiggins,Right Corner 3,22,9,9,27,1.2272727272727273,0.61363636363636365,1.6923076923076923E-2,0.60624999999999996,3.5142909776247358E-2,7.3863636363636909E-3
2012,2588,Matt Bonner,Right Corner 3,34,18,18,54,1.588235294117647,0.79411764705882348,9.7142857142857142E-2,0.56313921936965139,2.9719921838652647E-2,0.23097842768917209
2016,200782,P.J. Tucker,Left Corner 3,76,25,25,75,0.98684210526315785,0.49342105263157893,0.13058419243986255,0.56052899287894198,0.03782715146734137,-6.7107940247363052E-2
2020,202397,Ish Smith,Above the Break 3,118,44,44,132,1.1186440677966101,0.55932203389830504,0.17126269956458637,0.52702678362362432,0.29513172723213338,0.03229525027468072
2019,1627823,Juancho Hernangomez,Mid-Range,10,5,0,10,1,0.5,3.1847133757961783E-2,0.40359418199302799,0.15162810196028398,9.6405818006972011E-2
2024,1631230,Dominick Barlow,Restricted Area,52,30,0,60,1.1538461538461537,0.57692307692307687,0.46017699115044247,0.66313071177844096,0.29569595017855427,-0.08620763485536409
2018,203935,Marcus Smart,Left Corner 3,17,3,3,9,0.52941176470588236,0.26470588235294118,3.3009708737864081E-2,0.57528461255967678,3.8586348113194176E-2,-0.3105787302067356
2025,203084,Harrison Barnes,Restricted Area,208,137,0,274,1.3173076923076923,0.65865384615384615,0.30453879941434847,0.66339157592639486,0.27881592077269218,-4.7377297725487155E-3
2005,954,Kerry Kittles,Mid-Range,30,9,0,18,0.59999999999999998,0.29999999999999999,0.41095890410958902,0.39245937687408972,0.35437644844301863,-9.2459376874089727E-2
2018,202933,Julyan Stone,Right Corner 3,4,2,2,6,1.5,0.75,0.30769230769230771,0.60624999999999996,3.5142909776247358E-2,0.14375000000000004
2019,203992,Bogdan Bogdanovic,Mid-Range,146,60,0,120,0.82191780821917804,0.41095890410958902,0.16917728852838934,0.40359418199302799,0.15162810196028398,7.3647221165610288E-3
2006,754,Jim Jackson,Mid-Range,65,21,0,42,0.64615384615384619,0.32307692307692309,0.40625,0.39808146310850789,0.34442191504472142,-7.5004540031584799E-2
2007,2469,Pat Burke,Above the Break 3,17,5,5,15,0.88235294117647056,0.44117647058823528,0.26153846153846155,0.52824820485029134,0.15057733893671713,-8.7071734262056055E-2
2004,1762,Tremaine Fowlkes,Right Corner 3,1,0,0,0,0,0,2.0833333333333332E-2,0.56345854634363191,2.3703524180334348E-2,-0.56345854634363191
2010,1710,Mike Bibby,Left Corner 3,52,20,20,60,1.1538461538461537,0.57692307692307687,8.0870917573872478E-2,0.58725850231518439,3.1164475582934427E-2,-1.0335425392107522E-2
2012,202346,Dominique Jones,Mid-Range,16,3,0,6,0.375,0.1875,0.21917808219178081,0.38728655474243079,0.30261468316739554,-0.19978655474243079
