SEASON_1,PLAYER_ID,PLAYER_NAME,BASIC_ZONE,FGA,FGM,FG3M,Points
2017,1627780,Gary Payton II,Above the Break 3,8,1,1,3
2010,965,Derek Fisher,In The Paint (Non-RA),34,11,0,22
2007,101110,Martell Webster,Backcourt,5,0,0,0
2018,203530,Joffrey Lauvergne,In The Paint (Non-RA),68,22,0,44
2017,1626145,Tyus Jones,Mid-Range,33,11,0,22
2013,1740,Rashard Lewis,In The Paint (Non-RA),22,7,0,14
2021,201609,Goran Dragic,Mid-Range,76,29,0,58
2013,203129,Tornike Shengelia,Above the Break 3,1,1,1,3
2019,101112,Channing Frye,Above the Break 3,72,29,29,87
2017,201588,George Hill,Right Corner 3,34,13,13,39
2025,1629130,Duncan Robinson,Above the Break 3,384,149,149,447
2021,201566,Russell Westbrook,Right Corner 3,14,5,5,15
2020,2546,Carmelo Anthony,Backcourt,1,0,0,0
2019,203121,Darius Miller,Mid-Range,74,34,1,69
2007,2572,Josh Howard,Mid-Range,409,158,0,316
2009,2032,Darius Miles,Mid-Range,41,17,0,34
2017,203496,Robert Covington,Mid-Range,37,13,0,26
2025,1641748,Andre Jackson Jr.,Right Corner 3,26,10,10,30
2020,1628987,Kevin Hervey,Above the Break 3,18,2,2,6
2005,1536,Stephen Jackson,Above the Break 3,191,67,67,201
2011,202087,Alonzo Gee,In The Paint (Non-RA),39,10,0,20
2005,185,Chris Webber,Above the Break 3,42,14,14,42
2015,202323,Evan Turner,Mid-Range,296,131,0,262
2007,1766,Maceo Baston,Above the Break 3,7,3,3,9
2006,101111,Charlie Villanueva,Above the Break 3,127,41,41,123
2005,1919,Laron Profit,Left Corner 3,4,0,0,0
2022,1629599,Amir Coffey,Backcourt,1,0,0,0
2021,203145,Kent Bazemore,Mid-Range,52,13,1,27
2019,1628467,Maxi Kleber,Right Corner 3,33,6,6,18
2014,203524,Solomon Hill,In The Paint (Non-RA),4,2,0,4
2024,203486,Mason Plumlee,Restricted Area,109,71,0,142
2021,203506,Victor Oladipo,In The Paint (Non-RA),96,37,0,74
2008,2060,Marko Jaric,Left Corner 3,19,7,7,21
2025,1642505,Alex Ducas,In The Paint (Non-RA),3,0,0,0
2007,2588,Matt Bonner,Above the Break 3,76,31,31,93
2015,203909,KJ McDaniels,Above the Break 3,119,33,33,99
2008,2745,Kirk Snyder,Restricted Area,103,65,0,130
2005,2046,Desmond Mason,Backcourt,2,0,0,0
2014,203517,Nemanja Nedovic,In The Paint (Non-RA),3,1,0,2
2023,1630180,Saddiq Bey,In The Paint (Non-RA),103,36,0,72
2006,1709,Michael Olowokandi,Restricted Area,64,38,0,76
2011,201975,Jodie Meeks,Above the Break 3,256,99,99,297
2019,1628410,Edmond Sumner,Above the Break 3,19,4,4,12
2005,2420,Nenad Krstic,Mid-Range,150,57,0,114
2024,1629018,Gary Trent Jr.,Left Corner 3,52,20,20,60
2022,2544,LeBron James,Restricted Area,481,362,0,724
2022,1630165,Killian Hayes,Right Corner 3,30,8,8,24
2015,203120,Justin Hamilton,In The Paint (Non-RA),27,13,0,26
2018,203710,C.J. Williams,Restricted Area,48,35,0,70
2014,101107,Marvin Williams,Restricted Area,116,83,0,166
2024,1629628,RJ Barrett,Above the Break 3,159,54,54,162
2014,203077,Michael Kidd-Gilchrist,Mid-Range,88,25,0,50
2016,201941,Jordan Hill,Mid-Range,191,74,0,148
2005,2209,Vladimir Radmanovic,Restricted Area,140,81,0,162
2017,203507,Giannis Antetokounmpo,Left Corner 3,8,0,0,0
2008,1723,Matt Harpring,In The Paint (Non-RA),53,25,0,50
2015,203079,Dion Waiters,Restricted Area,334,167,0,334
2012,101235,Kelenna Azubuike,Above the Break 3,2,0,0,0
2020,1629001,De'Anthony Melton,Above the Break 3,108,28,28,84
2019,200757,Thabo Sefolosha,Restricted Area,44,26,0,52
2009,980,Zydrunas Ilgauskas,Restricted Area,213,120,0,240
2018,201229,Anthony Tolliver,Right Corner 3,61,29,29,87
2006,2744,Al Jefferson,Restricted Area,235,138,0,276
2011,201963,Christian Eyenga,Left Corner 3,20,5,5,15
2015,201979,Nick Calathes,Above the Break 3,34,10,10,30
2018,2863,Damien Wilkins,Left Corner 3,7,1,1,3
2019,1626143,Jahlil Okafor,Restricted Area,211,143,0,286
2011,200761,Shawne Williams,In The Paint (Non-RA),21,7,0,14
2014,202322,John Wall,Above the Break 3,265,95,95,285
2013,2571,Leandro Barbosa,Restricted Area,92,48,0,96
2017,202702,Kenneth Faried,Restricted Area,304,188,0,376
2010,2427,Roger Mason Jr.,Left Corner 3,42,15,15,45
2008,2050,Morris Peterson,Left Corner 3,104,42,42,126
2024,1630595,Cade Cunningham,Backcourt,5,0,0,0
2004,2427,Roger Mason Jr.,Mid-Range,27,5,0,10
2012,2804,Andres Nocioni,In The Paint (Non-RA),7,2,0,4
2024,1629646,Charles Bassey,Mid-Range,5,0,0,0
2009,1717,Dirk Nowitzki,Left Corner 3,3,0,0,0
2020,203084,Harrison Barnes,Mid-Range,62,17,0,34
2014,1536,Stephen Jackson,Mid-Range,4,1,0,2
2020,1627750,Jamal Murray,Backcourt,3,0,0,0
2022,1629744,Matt Thomas,Mid-Range,35,19,0,38
2020,203957,Dante Exum,Above the Break 3,29,12,12,36
2006,101187,Alan Anderson,Right Corner 3,19,12,12,36
2019,203937,Kyle Anderson,Right Corner 3,7,3,3,9
2016,203893,Russ Smith,Above the Break 3,4,0,0,0
2021,1629723,John Konchar,Left Corner 3,19,7,7,21
2020,1628370,Malik Monk,Backcourt,5,0,0,0
2016,203922,Glenn Robinson III,Right Corner 3,5,3,3,9
2020,1629016,Omari Spellman,Above the Break 3,90,32,32,96
2024,1631101,Shaedon Sharpe,Above the Break 3,144,49,49,147
2016,203991,Clint Capela,Mid-Range,4,1,0,2
2022,1630214,Xavier Tillman,Left Corner 3,9,4,4,12
2021,200746,LaMarcus Aldridge,Above the Break 3,65,25,25,75
