SEASON_1,TEAM_ID,TEAM_NAME,BASIC_ZONE,FGA,FGM,FG3M,Points,PPS,eFG,zone_share,league_efg_zone,league_zone_share,efg_vs_league_zone
2004,1610612754,Indiana Pacers,Mid-Range,2205,856,0,1712,0.77641723356009074,0.38820861678004537,0.34878203100284721,0.38215557887579998,0.35645906545207401,6.0530379042453841E-3
2004,1610612754,Indiana Pacers,Right Corner 3,187,67,67,201,1.0748663101604279,0.53743315508021394,2.9579247073710849E-2,0.56345854634363191,2.3703524180334348E-2,-2.6025391263417963E-2
2004,1610612754,Indiana Pacers,Left Corner 3,245,95,95,285,1.1632653061224489,0.58163265306122447,3.8753559000316358E-2,0.5677648451371079,2.6706637935122207E-2,1.3867807924116571E-2
2004,1610612754,Indiana Pacers,Backcourt,8,0,0,0,0,0,1.2654223347042075E-3,3.5714285714285712E-2,1.7702565291381064E-3,-3.5714285714285712E-2
2004,1610612754,Indiana Pacers,Restricted Area,1993,1134,0,2268,1.1379829402910187,0.56899147014550933,0.31524833913318567,0.58193503824252835,0.31273478290648726,-0.01294356809701902
2004,1610612754,Indiana Pacers,In The Paint (Non-RA),842,314,0,628,0.74584323040380052,0.37292161520190026,0.13318570072761785,0.38604353393085789,0.14401774471425635,-1.3121918728957627E-2
2004,1610612754,Indiana Pacers,Above the Break 3,842,287,287,861,1.0225653206650831,0.51128266033254155,0.13318570072761785,0.51041136639398799,0.13460798828258774,8.7129393855356341E-4
2005,1610612745,Houston Rockets,Left Corner 3,222,82,82,246,1.1081081081081081,0.55405405405405406,3.4584826296930986E-2,0.5656921133369428,2.8037808790341352E-2,-1.1638059282888746E-2
2005,1610612745,Houston Rockets,Above the Break 3,1069,380,380,1140,1.0664172123479887,0.53320860617399435,0.16653684374513164,0.52359796067006559,0.13894932852964692,9.6106455039287608E-3
2005,1610612745,Houston Rockets,Right Corner 3,215,88,88,264,1.2279069767441861,0.61395348837209307,3.3494313756036766E-2,0.58366308648954213,2.6853754060700515E-2,3.0290401882550944E-2
2005,1610612745,Houston Rockets,Mid-Range,2397,958,3,1919,0.80058406341259913,0.40029203170629957,0.37342265150334941,0.39245937687408972,0.35437644844301863,7.832654832209851E-3
2005,1610612745,Houston Rockets,In The Paint (Non-RA),823,354,0,708,0.86026731470230866,0.43013365735115433,0.1282131173079919,0.39781815358335276,0.13033710139354135,3.2315503767801568E-2
2005,1610612745,Houston Rockets,Restricted Area,1682,984,0,1968,1.1700356718192628,0.58501783590963141,0.26203458482629693,0.58541392904073586,0.31960875593292382,-3.9609313110444688E-4
2005,1610612745,Houston Rockets,Backcourt,11,0,0,0,0,0,1.7136625642623462E-3,1.2396694214876033E-2,1.8368028498274519E-3,-1.2396694214876033E-2
2005,1610612748,Miami Heat,In The Paint (Non-RA),840,355,0,710,0.84523809523809523,0.42261904761904762,0.13190954773869346,0.39781815358335276,0.13033710139354135,2.4800894035694854E-2
2005,1610612748,Miami Heat,Mid-Range,2045,839,0,1678,0.82053789731051341,0.4102689486552567,0.32113693467336685,0.39245937687408972,0.35437644844301863,1.7809571781166988E-2
2005,1610612748,Miami Heat,Restricted Area,2226,1428,0,2856,1.2830188679245282,0.64150943396226412,0.3495603015075377,0.58541392904073586,0.31960875593292382,5.6095504921528261E-2
