SEASON_1,TEAM_ID,TEAM_NAME,FGA,FGM,FG3M,Points,PPS,eFG
2025,1610612744,Golden State Warriors,7412,3342,1264,7948,1.0723151645979492,0.53615758229897459
2025,1610612742,Dallas Mavericks,7194,3443,1020,7906,1.0989713650264108,0.5494856825132054
2016,1610612753,Orlando Magic,7117,3242,636,7120,1.0004215259238443,0.50021076296192213
2012,1610612741,Chicago Bulls,5461,2467,419,5353,0.98022340230726968,0.49011170115363484
2021,1610612765,Detroit Pistons,6162,2783,832,6398,1.0382992534891269,0.51914962674456344
2025,1610612743,Denver Nuggets,7360,3724,984,8432,1.1456521739130434,0.57282608695652171
2016,1610612738,Boston Celtics,7316,3216,717,7149,0.97717331875341717,0.48858665937670859
2007,1610612763,Memphis Grizzlies,6448,2998,500,6496,1.0074441687344913,0.50372208436724564
2015,1610612738,Boston Celtics,7209,3193,660,7046,0.97738937439311968,0.48869468719655984
2024,1610612740,New Orleans Pelicans,7165,3484,1023,7991,1.1152826238660154,0.5576413119330077
2014,1610612749,Milwaukee Bucks,6735,2952,548,6452,0.95798069784706752,0.47899034892353376
2007,1610612748,Miami Heat,6288,2919,528,6366,1.0124045801526718,0.50620229007633588
2007,1610612760,Seattle SuperSonics,6628,3047,525,6619,0.99864212432106214,0.49932106216053107
2012,1610612762,Utah Jazz,5531,2523,273,5319,0.96167058398119687,0.48083529199059843
2019,1610612745,Houston Rockets,7163,3218,1323,7759,1.0832053608823118,0.54160268044115589
2018,1610612753,Orlando Magic,7042,3182,844,7208,1.0235728486225504,0.51178642431127519
2018,1610612761,Toronto Raptors,7169,3383,968,7734,1.0788115497279955,0.53940577486399777
2021,1610612738,Boston Celtics,6401,2985,979,6949,1.0856116231838775,0.54280581159193875
2020,1610612758,Sacramento Kings,6364,2943,914,6800,1.0685103708359522,0.53425518541797612
2008,1610612740,New Orleans Hornets,6796,3164,630,6958,1.0238375515008828,0.51191877575044142
2008,1610612738,Boston Celtics,6286,2986,596,6568,1.0448615972001272,0.52243079860006358
2007,1610612743,Denver Nuggets,6805,3164,484,6812,1.0010286554004408,0.50051432770022042
2024,1610612741,Chicago Bulls,7339,3448,941,7837,1.0678566562201934,0.53392832811009672
2022,1610612748,Miami Heat,6954,3246,1114,7606,1.0937589876330169,0.54687949381650847
2011,1610612737,Atlanta Hawks,6428,2971,502,6444,1.0024891101431239,0.50124455507156196
2015,1610612747,Los Angeles Lakers,7020,3054,532,6640,0.94586894586894588,0.47293447293447294
