SEASON_1,TEAM_ID,TEAM_NAME,BASIC_ZONE,FGA,FGM,FG3M,Points
2007,1610612752,New York Knicks,Backcourt,17,0,0,0
2020,1610612766,Charlotte Hornets,Left Corner 3,256,104,104,312
2016,1610612747,Los Angeles Lakers,Above the Break 3,1583,505,505,1515
2017,1610612749,Milwaukee Bucks,In The Paint (Non-RA),996,392,0,784
2005,1610612764,Washington Wizards,Left Corner 3,180,51,51,153
2016,1610612738,Boston Celtics,Restricted Area,2507,1509,0,3018
2019,1610612760,Oklahoma City Thunder,Above the Break 3,1930,658,658,1974
2015,1610612746,Los Angeles Clippers,Backcourt,10,0,0,0
2022,1610612756,Phoenix Suns,Backcourt,12,0,0,0
2022,1610612763,Memphis Grizzlies,Restricted Area,2378,1527,0,3054
2012,1610612747,Los Angeles Lakers,Right Corner 3,169,57,57,171
2016,1610612738,Boston Celtics,Left Corner 3,254,96,96,288
2007,1610612742,Dallas Mavericks,Above the Break 3,911,356,356,1068
2007,1610612759,San Antonio Spurs,Restricted Area,1956,1251,0,2502
2009,1610612746,Los Angeles Clippers,Right Corner 3,136,58,58,174
2020,1610612756,Phoenix Suns,Mid-Range,1039,433,1,867
2011,1610612764,Washington Wizards,Right Corner 3,144,55,54,164
2013,1610612740,New Orleans Hornets,Mid-Range,1724,680,0,1360
2020,1610612766,Charlotte Hornets,Restricted Area,1962,1162,0,2324
2012,1610612755,Philadelphia 76ers,Left Corner 3,107,33,33,99
2012,1610612744,Golden State Warriors,Restricted Area,1613,969,0,1938
2016,1610612751,Brooklyn Nets,Right Corner 3,228,92,92,276
2019,1610612756,Phoenix Suns,Mid-Range,1142,460,2,922
2011,1610612752,New York Knicks,Mid-Range,1743,700,0,1400
2024,1610612747,Los Angeles Lakers,Left Corner 3,379,151,151,453
2013,1610612751,Brooklyn Nets,In The Paint (Non-RA),1177,490,0,980
2009,1610612743,Denver Nuggets,Backcourt,18,1,1,3
2025,1610612753,Orlando Magic,Above the Break 3,2061,635,635,1905
2022,1610612752,New York Knicks,Restricted Area,2050,1270,0,2540
2018,1610612766,Charlotte Hornets,Backcourt,21,0,0,0
2005,1610612750,Minnesota Timberwolves,Restricted Area,1544,947,0,1894
2010,1610612738,Boston Celtics,Above the Break 3,1092,388,388,1164
2022,1610612759,San Antonio Spurs,Restricted Area,2168,1396,0,2792
2012,1610612744,Golden State Warriors,Left Corner 3,185,82,82,246
2005,1610612764,Washington Wizards,Restricted Area,2049,1281,1,2563
2009,1610612760,Oklahoma City Thunder,Right Corner 3,98,29,28,86
2017,1610612754,Indiana Pacers,Mid-Range,1925,795,0,1590
2019,1610612750,Minnesota Timberwolves,Mid-Range,1414,561,5,1127
2024,1610612761,Toronto Raptors,In The Paint (Non-RA),1550,639,0,1278
2016,1610612737,Atlanta Hawks,Mid-Range,1366,573,0,1146
2010,1610612740,New Orleans Hornets,In The Paint (Non-RA),925,416,0,832
2022,1610612744,Golden State Warriors,Restricted Area,1893,1326,0,2652
2019,1610612743,Denver Nuggets,In The Paint (Non-RA),1463,634,0,1268
2024,1610612737,Atlanta Hawks,Backcourt,15,0,0,0
2014,1610612751,Brooklyn Nets,Backcourt,20,0,0,0
2020,1610612765,Detroit Pistons,Right Corner 3,324,129,129,387
2004,1610612747,Los Angeles Lakers,Mid-Range,2295,859,0,1718
2005,1610612743,Denver Nuggets,Right Corner 3,149,58,58,174
2009,1610612741,Chicago Bulls,Left Corner 3,176,65,65,195
2008,1610612762,Utah Jazz,Above the Break 3,846,315,315,945
2009,1610612740,New Orleans Hornets,Restricted Area,1813,1104,0,2208
2018,1610612747,Los Angeles Lakers,Left Corner 3,222,85,85,255
2018,1610612755,Philadelphia 76ers,Backcourt,20,0,0,0
2012,1610612749,Milwaukee Bucks,Above the Break 3,926,315,315,945
2021,1610612765,Detroit Pistons,Right Corner 3,251,83,83,249
2004,1610612759,San Antonio Spurs,Backcourt,12,0,0,0
2017,1610612760,Oklahoma City Thunder,In The Paint (Non-RA),979,423,0,846
2022,1610612744,Golden State Warriors,Left Corner 3,408,146,146,438
2021,1610612749,Milwaukee Bucks,In The Paint (Non-RA),1018,451,0,902
2018,1610612748,Miami Heat,Left Corner 3,300,109,109,327
2012,1610612752,New York Knicks,Restricted Area,1858,1148,0,2296
2010,1610612737,Atlanta Hawks,Right Corner 3,224,78,78,234
2015,1610612749,Milwaukee Bucks,Mid-Range,1920,782,0,1564
2019,1610612766,Charlotte Hornets,Left Corner 3,311,114,114,342
2012,1610612759,San Antonio Spurs,Restricted Area,1729,1107,0,2214
2022,1610612737,Atlanta Hawks,Right Corner 3,352,136,136,408
2021,1610612745,Houston Rockets,In The Paint (Non-RA),799,295,0,590
2009,1610612765,Detroit Pistons,Mid-Range,2913,1191,2,2384
2020,1610612748,Miami Heat,Right Corner 3,328,113,113,339
2024,1610612765,Detroit Pistons,Right Corner 3,378,154,154,462
2025,1610612739,Cleveland Cavaliers,Restricted Area,2069,1403,0,2806
2023,1610612755,Philadelphia 76ers,Left Corner 3,375,141,141,423
2023,1610612755,Philadelphia 76ers,Restricted Area,2088,1364,0,2728
2023,1610612748,Miami Heat,Right Corner 3,373,141,141,423
2024,1610612763,Memphis Grizzlies,Backcourt,21,0,0,0
2021,1610612748,Miami Heat,Right Corner 3,338,118,118,354
2008,1610612752,New York Knicks,Mid-Range,1913,758,0,1516
2012,1610612745,Houston Rockets,Left Corner 3,214,95,95,285
2017,1610612758,Sacramento Kings,In The Paint (Non-RA),1136,462,0,924
2007,1610612744,Golden State Warriors,Mid-Range,1695,642,1,1285
